sample_precision,sample_recall,sample_f1,positive_rate,pr_auc,roc_auc,event_precision,event_recall,event_f1,true_event_count,pred_event_count,detected_event_rate,mean_lead_bars,false_alarms_per_day,threshold,bootstrap_ci,symbol,model
0.06535947712418301,0.7142857142857143,0.11976047904191617,0.864406779661017,0.08130769670303334,0.4474145486415425,0.42857142857142855,0.6666666666666666,0.5217391304347826,9.0,7.0,0.8888888888888888,5.0,1.1299435028248588,0.00963205078894153,{},EEM,vol_threshold
0.016129032258064516,0.0625,0.02564102564102564,0.3502824858757062,0.06407627414367983,0.29153726708074534,0.25,0.1,0.14285714285714288,10.0,4.0,0.3,5.0,0.847457627118644,0.00963205078894153,{},GLD,vol_threshold
0.0,0.0,0.0,0.09195402298850575,0.047743555721083214,0.3212493028443949,0.0,0.0,0.0,6.0,1.0,0.0,,0.28735632183908044,0.00963205078894153,{},HYG,vol_threshold
0.0,0.0,0.0,0.0,0.13472289086887212,0.5035403050108933,0.0,0.0,0.0,16.0,0.0,0.0,,0.0,0.00963205078894153,{},IEF,vol_threshold
0.0,0.0,0.0,0.07344632768361582,0.09066404910050815,0.38152866242038214,0.0,0.0,0.0,17.0,1.0,0.0,,0.2824858757062147,0.00963205078894153,{},LQD,vol_threshold
0.05185185185185185,0.7,0.09655172413793103,0.7627118644067796,0.05659078453462729,0.44610778443113774,0.5,0.8,0.6153846153846154,5.0,4.0,0.8,2.25,0.5649717514124294,0.00963205078894153,{},QQQ,vol_threshold
0.043478260869565216,0.36363636363636365,0.07766990291262135,0.519774011299435,0.054595109876604625,0.4129244249726177,0.4,0.5,0.4444444444444445,6.0,5.0,0.5,1.3333333333333333,0.847457627118644,0.00963205078894153,{},SPY,vol_threshold
0.09803921568627451,0.21739130434782608,0.13513513513513514,0.288135593220339,0.11285415320682743,0.4113495200451722,0.6,0.2631578947368421,0.36585365853658536,19.0,5.0,0.3684210526315789,4.857142857142857,0.5649717514124294,0.00963205078894153,{},TLT,vol_threshold
0.0,0.0,0.0,0.0,0.07770476665340346,0.48003549245785265,0.0,0.0,0.0,9.0,0.0,0.0,,0.0,0.00963205078894153,{},UUP,vol_threshold
0.07344632768361582,1.0,0.1368421052631579,1.0,0.056267788082691825,0.3409943714821764,1.0,1.0,1.0,7.0,1.0,1.0,4.285714285714286,0.0,0.00963205078894153,{},XLE,vol_threshold
0.06666666666666667,0.7142857142857143,0.12195121951219512,0.847457627118644,0.06180767387926746,0.34794040315512703,0.75,0.75,0.75,8.0,4.0,0.75,3.1666666666666665,0.2824858757062147,0.00963205078894153,{},XLF,vol_threshold
0.10734463276836158,1.0,0.19387755102040816,1.0,0.07802719940960164,0.32611592271818785,1.0,1.0,1.0,11.0,1.0,1.0,5.0,0.0,0.00963205078894153,{},^VIX,vol_threshold
0.3333333333333333,0.05,0.08695652173913043,0.01694915254237288,0.17511272978151898,0.6242038216560509,0.5,0.07692307692307693,0.13333333333333336,13.0,2.0,0.15384615384615385,2.0,0.2824858757062147,0.15,{},DBC,rf_combined
0.14285714285714285,0.07142857142857142,0.09523809523809523,0.03954802259887006,0.08934962205823228,0.4932077125328659,0.2,0.1111111111111111,0.14285714285714285,9.0,5.0,0.2222222222222222,2.0,1.1299435028248588,0.15,{},EEM,rf_combined
0.3333333333333333,0.0625,0.10526315789473684,0.01694915254237288,0.18085048373643556,0.5832686335403727,0.5,0.1,0.16666666666666669,10.0,2.0,0.2,0.5,0.2824858757062147,0.15,{},GLD,rf_combined
0.0,0.0,0.0,0.0,0.06289691918702288,0.49581706636921363,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.15,{},HYG,rf_combined
0.4,0.08333333333333333,0.13793103448275862,0.02824858757062147,0.35204360571692356,0.7655228758169935,0.6666666666666666,0.125,0.21052631578947367,16.0,3.0,0.1875,0.6666666666666666,0.2824858757062147,0.15,{},IEF,rf_combined
0.125,0.05,0.07142857142857142,0.04519774011299435,0.19550758115208505,0.6638535031847133,0.14285714285714285,0.058823529411764705,0.08333333333333333,17.0,7.0,0.4117647058823529,2.142857142857143,1.694915254237288,0.15,{},LQD,rf_combined
0.2727272727272727,0.3,0.2857142857142857,0.062146892655367235,0.17845180393804572,0.655688622754491,0.3333333333333333,0.4,0.3636363636363636,5.0,6.0,0.4,1.5,1.1299435028248588,0.15,{},QQQ,rf_combined
0.0,0.0,0.0,0.011299435028248588,0.14883704033366857,0.7489047097480833,0.0,0.0,0.0,6.0,2.0,0.16666666666666666,5.0,0.5649717514124294,0.15,{},SPY,rf_combined
0.3333333333333333,0.13043478260869565,0.1875,0.05084745762711865,0.2470072827909563,0.5870976849237719,0.42857142857142855,0.15789473684210525,0.23076923076923078,19.0,7.0,0.21052631578947367,2.25,1.1299435028248588,0.15,{},TLT,rf_combined
0.0,0.0,0.0,0.022857142857142857,0.12476583260453392,0.6408606921029282,0.0,0.0,0.0,9.0,4.0,0.1111111111111111,4.0,1.1428571428571428,0.15,{},UUP,rf_combined
0.0,0.0,0.0,0.022598870056497175,0.08748606272394656,0.5218105065666041,0.0,0.0,0.0,7.0,4.0,0.14285714285714285,2.0,1.1299435028248588,0.15,{},XLE,rf_combined
0.0,0.0,0.0,0.0,0.18342076858596162,0.5968448729184926,0.0,0.0,0.0,8.0,0.0,0.0,,0.0,0.15,{},XLF,rf_combined
0.3333333333333333,0.05263157894736842,0.09090909090909091,0.01694915254237288,0.2435462838896323,0.6807128580946037,1.0,0.09090909090909091,0.16666666666666669,11.0,1.0,0.09090909090909091,2.0,0.0,0.15,{},^VIX,rf_combined
0.0,0.0,0.0,0.01694915254237288,0.09178793230981137,0.40031847133757964,0.0,0.0,0.0,13.0,3.0,0.07692307692307693,5.0,0.847457627118644,0.2,{},DBC,rf_topology
0.0,0.0,0.0,0.03389830508474576,0.0761419313004249,0.48247151621384754,0.0,0.0,0.0,9.0,4.0,0.1111111111111111,5.0,1.1299435028248588,0.2,{},EEM,rf_topology
0.0,0.0,0.0,0.005649717514124294,0.09293162061610628,0.40256211180124224,0.0,0.0,0.0,10.0,1.0,0.0,,0.2824858757062147,0.2,{},GLD,rf_topology
0.0,0.0,0.0,0.017241379310344827,0.11477253551837333,0.6344116006692694,0.0,0.0,0.0,6.0,3.0,0.16666666666666666,5.0,0.8620689655172414,0.2,{},HYG,rf_topology
0.0,0.0,0.0,0.005649717514124294,0.1586468698738262,0.5819716775599129,0.0,0.0,0.0,16.0,1.0,0.0625,1.0,0.2824858757062147,0.2,{},IEF,rf_topology
0.0,0.0,0.0,0.01694915254237288,0.12718906199522362,0.5347133757961784,0.0,0.0,0.0,17.0,3.0,0.11764705882352941,2.0,0.847457627118644,0.2,{},LQD,rf_topology
0.0,0.0,0.0,0.011299435028248588,0.06468131735612825,0.4811377245508982,0.0,0.0,0.0,5.0,2.0,0.0,,0.5649717514124294,0.2,{},QQQ,rf_topology
0.0,0.0,0.0,0.0,0.17677909974437017,0.6538882803943045,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.2,{},SPY,rf_topology
0.25,0.043478260869565216,0.07407407407407407,0.022598870056497175,0.19721273492421637,0.6373517786561265,0.25,0.05263157894736842,0.08695652173913043,19.0,4.0,0.15789473684210525,2.3333333333333335,0.847457627118644,0.2,{},TLT,rf_topology
0.0,0.0,0.0,0.03428571428571429,0.10911912632787793,0.5727595385980478,0.0,0.0,0.0,9.0,5.0,0.0,,1.4285714285714286,0.2,{},UUP,rf_topology
0.0,0.0,0.0,0.011299435028248588,0.09220855995839448,0.5773921200750469,0.0,0.0,0.0,7.0,2.0,0.0,,0.5649717514124294,0.2,{},XLE,rf_topology
0.16666666666666666,0.07142857142857142,0.1,0.03389830508474576,0.19340119354575375,0.7197633654688869,0.25,0.125,0.16666666666666666,8.0,4.0,0.375,1.3333333333333333,0.847457627118644,0.2,{},XLF,rf_topology
0.0,0.0,0.0,0.02824858757062147,0.13363162784261556,0.5401399067288474,0.0,0.0,0.0,11.0,5.0,0.09090909090909091,3.0,1.4124293785310735,0.2,{},^VIX,rf_topology
0.0,0.0,0.0,0.0,0.20905639308865095,0.4601910828025478,0.0,0.0,0.0,13.0,0.0,0.0,,0.0,0.5,{},DBC,gcn_graph
0.0,0.0,0.0,0.0,0.07472800417372585,0.44522348816827345,0.0,0.0,0.0,9.0,0.0,0.0,,0.0,0.5,{},EEM,gcn_graph
0.0,0.0,0.0,0.0,0.1494220641310156,0.5347437888198758,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,0.5,{},GLD,gcn_graph
0.0,0.0,0.0,0.0,0.09779004997064025,0.5370886781929727,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.5,{},HYG,gcn_graph
0.0,0.0,0.0,0.0,0.15718811731228183,0.48856209150326785,0.0,0.0,0.0,16.0,0.0,0.0,,0.0,0.5,{},IEF,gcn_graph
0.0,0.0,0.0,0.0,0.09490106453629309,0.3160828025477707,0.0,0.0,0.0,17.0,0.0,0.0,,0.0,0.5,{},LQD,gcn_graph
0.0,0.0,0.0,0.0,0.14053451742489662,0.5128742514970059,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.5,{},QQQ,gcn_graph
0.0,0.0,0.0,0.0,0.06707202351901517,0.511500547645126,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.5,{},SPY,gcn_graph
0.0,0.0,0.0,0.0,0.18633717747590478,0.5201863354037267,0.0,0.0,0.0,19.0,0.0,0.0,,0.0,0.5,{},TLT,gcn_graph
0.0,0.0,0.0,0.0,0.11656751411707832,0.623114463176575,0.0,0.0,0.0,9.0,0.0,0.0,,0.0,0.5,{},UUP,gcn_graph
0.0,0.0,0.0,0.0,0.07544870262739793,0.5042213883677298,0.0,0.0,0.0,7.0,0.0,0.0,,0.0,0.5,{},XLE,gcn_graph
0.0,0.0,0.0,0.0,0.1336531715490476,0.5306748466257668,0.0,0.0,0.0,8.0,0.0,0.0,,0.0,0.5,{},XLF,gcn_graph
0.0,0.0,0.0,0.0,0.160972619371414,0.5666222518321119,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,0.5,{},^VIX,gcn_graph
