sample_precision,sample_recall,sample_f1,positive_rate,pr_auc,roc_auc,event_precision,event_recall,event_f1,true_event_count,pred_event_count,detected_event_rate,mean_lead_bars,false_alarms_per_day,threshold,bootstrap_ci,symbol,model
0.08,1.0,0.14814814814814814,0.9562841530054644,0.06811212967132653,0.42772612003381233,1.0,1.0,1.0,10.0,2.0,1.0,5.0,0.0,0.00963205078894153,{},XLE,vol_threshold
0.08433734939759036,0.4666666666666667,0.14285714285714285,0.453551912568306,0.09599419247569839,0.5464285714285715,0.375,0.5555555555555556,0.44776119402985076,9.0,8.0,0.7777777777777778,4.428571428571429,1.366120218579235,0.00963205078894153,{},XLF,vol_threshold
0.08743169398907104,1.0,0.16080402010050251,1.0,0.06441131047018049,0.32747005988023953,1.0,1.0,1.0,11.0,1.0,1.0,5.0,0.0,0.00963205078894153,{},^VIX,vol_threshold
0.21739130434782608,0.45454545454545453,0.29411764705882354,0.12568306010928962,0.45494799640225325,0.7780126849894291,0.5,0.4444444444444444,0.47058823529411764,9.0,8.0,0.4444444444444444,2.75,1.0928961748633879,0.5,{},DBC,gcn_fusion
0.10526315789473684,0.23529411764705882,0.14545454545454545,0.20765027322404372,0.10607715391102562,0.5191353649893693,0.42857142857142855,0.21428571428571427,0.2857142857142857,14.0,7.0,0.35714285714285715,4.2,1.0928961748633879,0.5,{},EEM,gcn_fusion
0.21875,0.3181818181818182,0.25925925925925924,0.17486338797814208,0.17797356967792113,0.5838509316770186,0.8333333333333334,0.3333333333333333,0.47619047619047616,15.0,6.0,0.3333333333333333,2.8,0.27322404371584696,0.5,{},GLD,gcn_fusion
0.11428571428571428,0.36363636363636365,0.17391304347826086,0.19337016574585636,0.14256600844753087,0.6508021390374332,0.2727272727272727,0.3333333333333333,0.3,6.0,11.0,0.3333333333333333,2.0,2.2099447513812156,0.5,{},HYG,gcn_fusion
0.09859154929577464,0.4666666666666667,0.16279069767441862,0.3879781420765027,0.10410543374967954,0.5380952380952381,0.45454545454545453,0.5,0.47619047619047616,14.0,11.0,0.7142857142857143,3.1,1.639344262295082,0.5,{},IEF,gcn_fusion
0.09302325581395349,0.5333333333333333,0.15841584158415842,0.46994535519125685,0.1555925108203559,0.5873015873015873,0.38461538461538464,0.5,0.4347826086956522,12.0,13.0,0.8333333333333334,4.3,2.1857923497267757,0.5,{},LQD,gcn_fusion
0.02857142857142857,0.07692307692307693,0.041666666666666664,0.1912568306010929,0.0677230333413093,0.47963800904977383,0.07142857142857142,0.125,0.09090909090909091,8.0,14.0,0.375,3.0,3.551912568306011,0.5,{},QQQ,gcn_fusion
0.045454545454545456,0.06666666666666667,0.05405405405405406,0.12021857923497267,0.06942828764412214,0.40714285714285714,0.16666666666666666,0.08333333333333333,0.1111111111111111,12.0,6.0,0.08333333333333333,2.0,1.366120218579235,0.5,{},SPY,gcn_fusion
